Damage_Type,Aligner_Name,Subsampling_Rate,TP,FP,TN,FN,TP_MQ30,FP_MQ30,TN_MQ30,FN_MQ30
none,bowtie2,0.6,2408,84,8330,12,2402,45,8330,12
none,mem,0.6,2421,238,8176,2,2421,217,8176,2
dmid,aln_anc,0.6,2409,110,8301,10,2409,76,8301,10
dhigh,aln_anc,0.5,1997,112,6912,11,1997,83,6912,11
dmid,mem,0.6,2421,208,8203,0,2421,195,8203,0
single,aln_anc,0.5,2003,106,6914,10,2003,80,6914,10
dmid,aln,0.6,2409,90,8321,10,2409,66,8321,10
dmid,bowtie2,0.6,2412,76,8335,7,2406,36,8335,7
dhigh,bowtie2,0.5,2001,83,6941,7,1995,37,6941,7
dhigh,aln,0.5,1997,90,6934,11,1997,72,6934,11
dhigh,shrimp,0.5,2003,563,6461,5,2003,563,6461,5
none,mem,0.5,2011,198,6824,2,2011,179,6824,2
none,aln,0.5,1995,82,6940,15,1995,73,6940,15
single,mem,0.5,2014,193,6827,1,2014,177,6827,1
dhigh,mem,0.5,2008,209,6815,2,2008,193,6815,2
single,bb,0.9,3600,641,11954,7,3592,137,11954,7
single,shrimp,0.5,2006,539,6481,7,2006,539,6481,7
none,aln_anc,0.5,1996,102,6920,14,1996,85,6920,14
none,bowtie2,0.5,1999,67,6955,11,1993,36,6955,11
none,shrimp,0.5,2005,558,6464,5,2005,558,6464,5
single,aln,0.5,2003,85,6935,10,2003,68,6935,10
single,bowtie2,0.5,2003,73,6946,10,2003,45,6946,10
none,giraffe,0.7,2489,221,9625,337,2418,201,9625,337
dmid,giraffe,0.9,3132,237,12359,472,3061,227,12359,472
dmid,aln,0.5,2001,68,6953,7,2001,49,6953,7
dmid,mem,0.5,2010,163,6858,0,2010,153,6858,0
dmid,bb,0.8,3243,554,10731,0,3234,110,10731,0
dmid,bowtie2,0.5,2003,56,6964,5,1999,31,6964,5
dmid,shrimp,0.6,2417,639,7772,2,2417,639,7772,2
dmid,bb,0.7,2825,470,9374,0,2816,94,9374,0
dhigh,aln_anc,0.4,1590,92,5512,9,1590,67,5512,9
single,giraffe,0.7,2460,198,9644,368,2403,188,9644,368
dmid,aln_anc,0.5,2001,85,6936,7,2001,57,6936,7
dhigh,mem,0.4,1598,168,5436,2,1598,154,5436,2
dhigh,aln,0.4,1590,73,5531,9,1590,59,5531,9
dhigh,giraffe,0.7,2462,230,9617,363,2402,216,9617,363
dhigh,bowtie2,0.4,1593,58,5545,6,1587,28,5545,6
dmid,shrimp,0.5,2006,519,6502,2,2006,519,6502,2
dhigh,shrimp,0.4,1595,451,5153,4,1595,451,5153,4
single,aln_anc,0.4,1596,80,5521,8,1596,62,5521,8
single,shrimp,0.4,1598,437,5164,6,1598,437,5164,6
none,mem,0.4,1602,152,5450,1,1602,135,5450,1
dmid,giraffe,0.7,2464,185,9658,361,2412,178,9658,361
none,shrimp,0.4,1598,441,5161,3,1598,441,5161,3
single,mem,0.4,1606,153,5448,0,1606,138,5448,0
dhigh,giraffe,0.6,2100,195,8218,319,2052,186,8218,319
single,bowtie2,0.4,1596,55,5545,8,1596,33,5545,8
single,aln,0.4,1596,64,5537,8,1596,52,5537,8
none,bb,0.7,2823,513,9334,3,2813,116,9334,3
dmid,bowtie2,0.4,1594,42,5559,5,1590,26,5559,5
dmid,aln,0.4,1592,58,5544,7,1592,42,5544,7
none,bowtie2,0.4,1592,43,5558,9,1588,26,5558,9
dmid,giraffe,0.8,2816,212,11073,427,2754,204,11073,427
none,aln,0.4,1589,59,5543,12,1589,50,5543,12
dhigh,bb,0.7,2823,521,9326,2,2815,116,9326,2
none,aln_anc,0.4,1590,72,5530,11,1590,60,5530,11
dmid,bb,0.6,2419,395,8016,0,2412,77,8016,0
dmid,mem,0.4,1601,143,5459,0,1601,133,5459,0
dhigh,giraffe,0.5,1745,164,6860,263,1705,155,6860,263
dmid,shrimp,0.4,1597,438,5164,2,1597,438,5164,2
single,giraffe,0.5,1754,141,6878,259,1713,134,6878,259
single,bb,0.7,2821,499,9344,7,2817,104,9344,7
dhigh,bb,0.6,2417,448,7966,2,2411,99,7966,2
dhigh,aln_anc,0.3,1206,69,4165,8,1206,49,4165,8
single,giraffe,0.6,2113,171,8239,309,2066,161,8239,309
single,aln_anc,0.3,1214,68,4163,3,1214,53,4163,3
dmid,aln_anc,0.4,1592,74,5528,7,1592,50,5528,7
dhigh,aln,0.3,1206,56,4178,8,1206,43,4178,8
single,shrimp,0.3,1214,337,3894,3,1214,337,3894,3
none,giraffe,0.6,2132,191,8223,288,2067,172,8223,288
none,bowtie2,0.3,1209,42,4192,7,1205,19,4192,7
dhigh,mem,0.3,1213,127,4107,2,1213,116,4107,2
dhigh,bowtie2,0.3,1208,45,4189,6,1204,20,4189,6
single,bowtie2,0.3,1214,46,4185,3,1214,30,4185,3
single,aln,0.3,1214,54,4177,3,1214,45,4177,3
none,mem,0.3,1217,118,4116,1,1217,105,4116,1
dhigh,shrimp,0.3,1210,339,3895,4,1210,339,3895,4
none,aln,0.3,1208,44,4190,8,1208,39,4190,8
single,bb,0.6,2415,428,7982,7,2412,89,7982,7
single,mem,0.3,1218,123,4108,0,1218,110,4108,0
none,bb,0.6,2417,439,7975,3,2408,98,7975,3
none,giraffe,0.5,1770,161,6861,240,1711,143,6861,240
none,bb,0.5,2007,366,6656,3,1999,81,6656,3
dmid,bowtie2,0.3,1210,26,4206,4,1208,14,4206,4
dmid,aln,0.3,1209,44,4188,5,1209,32,4188,5
dmid,aln_anc,0.3,1209,55,4177,5,1209,40,4177,5
none,aln_anc,0.3,1208,55,4179,8,1208,46,4179,8
single,bb,0.5,2006,354,6666,7,2003,76,6666,7
dmid,mem,0.3,1216,111,4121,0,1216,103,4121,0
dhigh,aln,0.2,812,41,2833,6,812,31,2833,6
dhigh,giraffe,0.4,1387,134,5469,212,1354,126,5469,212
dhigh,mem,0.2,817,86,2788,2,817,79,2788,2
dhigh,giraffe,0.3,1046,104,4130,168,1023,97,4130,168
dhigh,aln,0.1,413,14,1447,6,413,13,1447,6
dhigh,bowtie2,0.1,414,8,1453,5,412,6,1453,5
single,giraffe,0.2,715,62,2808,105,697,57,2808,105
none,bb,0.4,1599,282,5320,2,1592,58,5320,2
none,giraffe,0.3,1071,94,4140,145,1037,86,4140,145
dhigh,mem,0.1,418,36,1425,2,418,31,1425,2
dhigh,shrimp,0.1,416,113,1348,3,416,113,1348,3
dhigh,bb,0.4,1598,304,5300,1,1594,72,5300,1
dmid,bb,0.4,1599,262,5340,0,1594,52,5340,0
dmid,giraffe,0.3,1057,79,4153,157,1030,76,4153,157
single,aln_anc,0.1,417,23,1437,1,417,18,1437,1
dmid,mem,0.1,418,43,1416,0,418,42,1416,0
dmid,aln,0.1,417,13,1446,1,417,9,1446,1
dmid,bowtie2,0.1,418,9,1449,0,416,2,1449,0
single,aln,0.1,417,21,1439,1,417,18,1439,1
dhigh,giraffe,0.2,704,67,2807,114,688,61,2807,114
dmid,aln_anc,0.1,417,19,1440,1,417,14,1440,1
single,mem,0.1,419,39,1421,0,419,37,1421,0
none,giraffe,0.2,715,67,2807,103,692,60,2807,103
dhigh,giraffe,0.1,362,29,1432,57,355,27,1432,57
single,shrimp,0.1,417,102,1358,1,417,102,1358,1
single,bowtie2,0.1,417,19,1441,1,417,13,1441,1
dmid,shrimp,0.1,418,121,1338,0,418,121,1338,0
single,giraffe,0.1,365,32,1428,53,358,28,1428,53
none,aln,0.1,413,16,1446,5,413,14,1446,5
dmid,giraffe,0.4,1405,104,5497,194,1371,101,5497,194
none,bowtie2,0.1,413,13,1449,5,413,9,1449,5
none,mem,0.1,419,46,1416,1,419,40,1416,1
none,shrimp,0.1,416,118,1344,2,416,118,1344,2
none,aln_anc,0.1,413,19,1443,5,413,16,1443,5
dhigh,bb,0.2,817,154,2720,1,814,35,2720,1
none,bb,0.3,1214,217,4017,2,1209,47,4017,2
dmid,giraffe,0.2,709,56,2816,109,690,53,2816,109
dmid,giraffe,0.1,363,31,1427,55,355,30,1427,55
none,bb,0.2,816,156,2718,2,813,33,2718,2
single,bb,0.2,819,141,2730,1,819,34,2730,1
dmid,bb,0.2,818,144,2728,0,815,24,2728,0
dmid,bb,0.3,1214,204,4028,0,1210,37,4028,0
none,giraffe,0.1,367,29,1433,51,355,28,1433,51
dhigh,bb,0.1,418,70,1391,1,415,13,1391,1
single,bb,0.1,417,63,1397,1,417,20,1397,1
none,bb,0.1,416,81,1381,2,413,16,1381,2
dmid,bb,0.1,418,69,1390,0,418,10,1390,0
dmid,safari,0.1,418,52,1406,0,394,44,1406,0
none,safari,0.1,417,49,1413,1,401,49,1413,1
none,shrimp,0.3,1214,334,3900,2,1214,334,3900,2
dmid,shrimp,0.3,1212,340,3892,2,1212,340,3892,2
dhigh,bowtie2,0.2,813,29,2845,5,811,13,2845,5
dmid,giraffe,0.5,1759,122,6898,249,1719,118,6898,249
single,bowtie2,0.2,819,32,2838,1,819,22,2838,1
single,aln,0.2,819,37,2834,1,819,31,2834,1
dhigh,bb,0.5,2007,382,6642,1,2002,88,6642,1
single,giraffe,0.3,1074,84,4147,143,1050,79,4147,143
single,mem,0.2,821,83,2788,0,821,76,2788,0
single,giraffe,0.4,1405,113,5487,199,1375,107,5487,199
dhigh,aln_anc,0.2,812,48,2826,6,812,36,2826,6
none,giraffe,0.4,1407,128,5473,194,1360,114,5473,194
single,shrimp,0.2,819,220,2651,1,819,220,2651,1
dhigh,shrimp,0.2,815,235,2639,3,815,235,2639,3
dmid,giraffe,0.6,2111,152,8259,308,2064,147,8259,308
dmid,aln_anc,0.2,814,38,2834,4,814,27,2834,4
single,aln_anc,0.2,819,48,2823,1,819,36,2823,1
dmid,mem,0.2,820,78,2794,0,820,74,2794,0
dmid,aln,0.2,814,28,2844,4,814,20,2844,4
dmid,bb,0.5,2008,313,6708,0,2003,60,6708,0
dmid,bowtie2,0.2,815,17,2855,3,813,8,2855,3
dmid,shrimp,0.2,816,234,2638,2,816,234,2638,2
none,aln_anc,0.2,812,41,2833,6,812,32,2833,6
none,mem,0.2,819,86,2788,1,819,77,2788,1
single,bb,0.4,1598,283,5318,6,1596,58,5318,6
none,shrimp,0.2,816,235,2639,2,816,235,2639,2
none,bowtie2,0.2,813,26,2848,5,811,14,2848,5
single,bb,0.3,1214,215,4016,3,1214,50,4016,3
none,aln,0.2,812,31,2843,6,812,28,2843,6
dhigh,bb,0.3,1213,227,4007,1,1209,52,4007,1
dhigh,aln_anc,0.1,413,18,1443,6,413,14,1443,6
single,safari,0.1,418,52,1408,0,405,46,1408,0
dhigh,safari,0.1,417,43,1418,2,403,38,1418,2
single,safari,0.2,820,94,2776,0,788,84,2776,0
none,safari,0.2,817,110,2764,1,787,100,2764,1
dhigh,safari,0.2,816,105,2769,2,786,92,2769,2
dmid,safari,0.2,817,100,2772,1,779,88,2772,1
none,safari,0.4,1599,197,5404,2,1534,175,5404,2
dhigh,safari,0.4,1596,202,5401,3,1535,178,5401,3
single,safari,0.3,1216,133,4098,1,1166,119,4098,1
dmid,safari,0.3,1213,132,4100,1,1162,119,4100,1
none,safari,0.3,1215,153,4081,1,1167,141,4081,1
dhigh,safari,0.3,1212,157,4077,2,1167,137,4077,2
dhigh,safari,0.6,2414,297,8116,5,2324,265,8116,5
dmid,safari,0.4,1598,174,5427,1,1529,157,5427,1
dmid,safari,0.6,2416,250,8161,3,2329,221,8161,3
single,safari,0.8,3242,350,10934,4,3110,314,10934,4
single,safari,0.4,1602,182,5418,2,1534,162,5418,2
dhigh,safari,0.5,2005,252,6772,3,1930,223,6772,3
dmid,safari,0.5,2005,201,6819,3,1927,179,6819,3
single,safari,0.5,2010,227,6792,3,1924,200,6792,3
none,safari,0.5,2007,248,6774,3,1930,221,6774,3
dmid,safari,0.9,3598,393,12203,6,3470,353,12203,6
single,safari,0.6,2418,272,8138,4,2320,241,8138,4
dmid,safari,0.7,2822,307,9536,3,2726,273,9536,3
none,safari,0.6,2416,292,8122,4,2329,264,8122,4
dhigh,safari,0.8,3237,407,10880,6,3117,364,10880,6
none,safari,0.8,3236,387,10899,8,3120,349,10899,8
single,safari,0.7,2824,306,9536,4,2710,272,9536,4
none,safari,0.7,2821,337,9509,5,2722,305,9509,5
dmid,safari,0.8,3238,352,10933,5,3124,314,10933,5
dhigh,safari,0.7,2820,356,9491,5,2716,317,9491,5
dhigh,safari,0.9,3596,450,12148,8,3464,405,12148,8
single,safari,0.9,3603,389,12206,4,3456,352,12206,4
none,safari,0.9,3597,441,12156,8,3469,393,12156,8
